site,location,x,x_1,mean,sd,var,se,depth_ft,date,abalone_sizes_sample_independently_of_density_data,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,density_sample_size,study,quad_size_m2,comments,mean_density_1m,depth_m,year
taylor_rock,48 49.66,125 12.25,NA,0.07,NA,NA,NA,28,2007-07-14,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.14285714285714288,8.5344,2007
kirby_point,48 50.70,125 12.52,NA,0.07,NA,NA,NA,42,2007-07-17,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.14285714285714288,12.8016,2007
village_bay,48 51.00,125 12.04,NA,0.4,NA,NA,NA,40,2007-07-15,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.8163265306122449,12.192,2007
blowhole,48 49.47,125 09.70,NA,0,NA,NA,NA,20,2007-07-13,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,6.096,2007
prasiola,48 48.90,125 10.49,NA,0,NA,NA,NA,35,2007-07-13,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,10.668000000000001,2007
wizard,48 51.48,125 09.65,NA,0.2,NA,NA,NA,30,2007-07-14,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.40816326530612246,9.144,2007
grappler,48 50.34,125 08.01,NA,0.06,NA,NA,NA,25,2007-07-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.12244897959183673,7.62,2007
ed_king_?,48 49.8,125 13.16,NA,0,NA,NA,NA,33,2007-07-16,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,10.0584,2007
ship_islands,,,NA,0.133333333,0.345745904,0.11954023,0.063124277,30,2022-09-16,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.2721088428571429,9.144,2022
ed_king,,,NA,0.033333333,0.182574186,0.033333333,0.033333333,30,2022-09-16,,48,,,,,,,,,,,,,30,JaneWatson,0.7,,0.06802721020408163,9.144,2022
w_ed_king,,,NA,0,0,0,0,31,2022-09-16,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,9.4488,2022
seppings,,,NA,0,0,0,0,28,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,8.5344,2022
cape_beale,,,NA,0.233333333,0.504006933,0.254022989,0.092018655,30,2022-09-18,,67,78,75,79,75,72,,,,,,,,30,JaneWatson,0.7,,0.4761904755102041,9.144,2022
lawton_point,,,NA,0,0,0,0,28,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,8.5344,2022
whittlestone,,,NA,0.233333333,0.504006933,0.254022989,0.092018655,32,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.4761904755102041,9.7536,2022
execution_rock,,,NA,0.333333333,0.606478435,0.367816092,0.110727306,28,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.6802721081632653,8.5344,2022
self_point,,,NA,0.3,0.534983081,0.286206897,0.0976741,30,2022-09-19,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.6122448979591837,9.144,2022
helby_island,,,NA,0.333333333,0.606478435,0.367816092,0.110727306,30,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.6802721081632653,9.144,2022
scotts_bay,,,NA,1.133333333,1.332183412,1.774712644,0.243222302,24,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,2.312925169387755,7.315200000000001,2022
aguilar_point,,,NA,0.466666667,0.681445387,0.464367816,0.124414337,18,2022-09-19,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.9523809530612245,5.486400000000001,2022
cia_rock,,,NA,0,0,0,0,20,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,6.096,2022
taylor_rock,,,NA,0,0,0,0,26,2022-09-16,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0,7.9248,2022
kirby_point,,,NA,0.1,0.305128577,0.093103448,0.055708601,31,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.20408163265306123,9.4488,2022
village_bay,,,NA,0.166666667,0.379049022,0.143678161,0.069204567,28,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.3401360551020408,8.5344,2022
blowhole,,,NA,0.033333333,0.182574186,0.033333333,0.033333333,24,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.06802721020408163,7.315200000000001,2022
prasiola,,,NA,0.233333333,0.504006933,0.254022989,0.092018655,28,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.4761904755102041,8.5344,2022
wizard,,,NA,0.3,0.651258728,0.424137931,0.118903032,30,2022-09-18,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.6122448979591837,9.144,2022
grappler,,,NA,0.8,1.37464729,1.889655172,0.25097511,23,2022-09-19,,,,,,,,,,,,,,,30,JaneWatson,0.7,,1.6326530612244898,7.010400000000001,2022
ed_king_?,,,NA,0.166666667,0.461133037,0.212643678,0.084190989,26,2022-09-16,,,,,,,,,,,,,,,30,JaneWatson,0.7,,0.3401360551020408,7.9248,2022
