e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
10,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,phe,Pagurus hemphilli,Maroon hermit,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,acal,Apostichopus californicus,Californian sea cucumber,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,3,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,2,0,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
15,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,dim,Dermasterias imbricata,Leather star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,ctr,Coryphella trilineata,Three-lined aeolid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,sfo,Stylasterias forreri,Velcro seastar,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,oko,Orthasterias koehleri,Rainbow star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,afu,Antiopella fusca,White-and-orange-tipped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,ebi,Enophrys bison,Buffalo sculpin,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
25,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,sac,Scyra acutifrons,Sharpnose crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,henricia,Henricia spp.,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,ppr,Pugettia producta,Northern kelp crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,hhe,Hemilepidotus hemilepidotus,Red Irish lord,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
29,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,jzo,Jordania zonope,Longfin sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,0,phel,Pycnopodia helianthoides,Sunflower star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
31,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,19,0,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,
32,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,sebastes,Sebastes spp.,,8,0,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,sma,Sebastes maliger,Quillback rockfish,6,0,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,
34,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,hde,Hexagrammos decagrammus,Kelp greenling,11,0,,,,,2,,2,3,3,1,,,,,,,,,,,,,,,,,,
36,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,sca,Sebastes caurinus,Copper rockfish,3,0,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
37,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,opi,Oxylebius pictus,Painted greenling,2,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
38,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,1,2,sme,Sebastes melanops,Black rockfish,2,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
39,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,129,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,hka,Haliotis kamtschatkana,Pinto abalone,113,0,61,39,13,,,,,,,,,,,,,,,,,,,,,,,,,
41,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,phe,Pagurus hemphilli,Maroon hermit,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,28,0,8,15,5,,,,,,,,,,,,,,,,,,,,,,,,,
43,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,dim,Dermasterias imbricata,Leather star,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,19,0,,3,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,
45,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,poc,Pisaster ochraceus,Purple sea star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,das,Diodora aspera,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,hermit,Paguroidea spp.,Unidentified hermit crab,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,ami,Acmaea mitra,Whitecap limpet,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,aha,Artedius harringtoni,Scalyhead sculpin,9,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,def,Debris - Fishing,Any fishing debris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,henricia,Henricia spp.,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,dsa,Diaulula sandiegensis,Ringed doris,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,pno,Peltodoris nobilis,Noble sea lemon,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,acal,Apostichopus californicus,Californian sea cucumber,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,sac,Scyra acutifrons,Sharpnose crab,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,etr,Evasterias troschelii,Mottled starfish,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,pmi,Patiria miniata,Bat star,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,rri,Rhamphocottus richardsonii,Grunt sculpin,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,oko,Orthasterias koehleri,Rainbow star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,gma,Gobiesox maeandricus,Northern clingfish,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
62,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,jzo,Jordania zonope,Longfin sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
64,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,2,2,dsc,Discorsopagurus schmitti,Tubeworm hermit,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,0,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,0,2,pgi,Pomaulax gibberosus,Red turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,0,2,ctr,Coryphella trilineata,Three-lined aeolid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Em Lim,Jasmin Schuster,BMSC9,Eagle Bay,48.83479,-125.14702,14/04/2025,3.5,SW,12:15,EGL,7,0,2,chlamys,Chlamys spp.,Unidentified scallop,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
70,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,188,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,poc,Pisaster ochraceus,Purple sea star,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,phe,Pagurus hemphilli,Maroon hermit,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,pmi,Patiria miniata,Bat star,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,oko,Orthasterias koehleri,Rainbow star,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,dim,Dermasterias imbricata,Leather star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,pgra,Pagurus granosimanus,Grainy Hermit Crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,pbe,Pagurus beringanus,Hermit crab,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,ami,Acmaea mitra,Whitecap limpet,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,8,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,ete,Elassochirus tenuimanus,Widehand hermitcrab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
84,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,das,Diodora aspera,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,15/04/2025,3,SE,10:25,JMS,6.5,2,2,petrolisthes,Petrolisthes spp.,Unidentified porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,1,2,oel,Ophiodon elongatus,Lingcod,3,0,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
88,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,5,0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
89,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,1,2,sme,Sebastes melanops,Black rockfish,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
90,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
91,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,268,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,pmi,Patiria miniata,Bat star,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,dim,Dermasterias imbricata,Leather star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,ami,Acmaea mitra,Whitecap limpet,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,29,0,18,10,1,,,,,,,,,,,,,,,,,,,,,,,,,
98,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,14,0,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,
99,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,phe,Pagurus hemphilli,Maroon hermit,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,oko,Orthasterias koehleri,Rainbow star,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,hermit,Paguroidea spp.,Unidentified hermit crab,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,jzo,Jordania zonope,Longfin sculpin,6,0,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
103,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,dsc,Discorsopagurus schmitti,Tubeworm hermit,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,chlamys,Chlamys spp.,Unidentified scallop,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,15/04/2025,4,SW,13:04,IMC,9.5,2,2,poc,Pisaster ochraceus,Purple sea star,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
