e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
48,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,dsa,Diaulula sandiegensis,Ringed doris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Def,Debris - Fishing,Any fishing debris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,0,2,Dsa,Diaulula sandiegensis,Ringed doris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,1,2,sebastes,Sebastes spp.,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,1,2,Rni,Rhinogobiops nicholsii,Blackeye goby,26,0,,5,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,1,2,Hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,133,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Pmi,Patiria miniata,Bat star,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Rni,Rhinogobiops nicholsii,Blackeye goby,107,0,7,37,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Acal,Apostichopus californicus,Californian sea cucumber,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Sac,Scyra acutifrons,Sharpnose crab,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Hka,Haliotis kamtschatkana,Pinto abalone,28,0,,2,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Dim,Dermasterias imbricata,Leather star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Pgi,Pomaulax gibberosus,Red turban shell,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,0,2,sebastes,Sebastes spp.,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,artedius,Artedius spp.,Unidentified artedius,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Pbr,Pisaster brevispinus,Giant pink sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Ami,Acmaea mitra,Whitecap limpet,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Oko,Orthasterias koehleri,Rainbow star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,0,2,Sca,Sebastes caurinus,Copper rockfish,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,hermit,Paguroidea spp.,Unidentified hermit crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Das,Diodora aspera,Rough keyhole limpet,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Per,Petrolisthes eriomerus,Flattop crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Cgi,Crassadoma gigantea,Purple-hinged rock scallop,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Pri,Pugettia richii,Cryptic kelp crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Cfo,Ceratostoma foliatum,Leafy hornmouth,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Henricia,Henricia spp.,Unidentified blood star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Pla,Pholis laeta,Crescent gunnel,2,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Nla,Nucella lamellosa,Frilled dogwinkle,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Jasmin Schuster,Tom Bird,BMSC10,Ross Islets Slug Island,48.87052,-125.16035,14/04/2026,2.5,W,9:42,JMS,5,2,2,Aoc,Anarrhichthys ocellatus,Wolf-eel,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,1,2,Hde,Hexagrammos decagrammus,Kelp greenling,4,0,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,297,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Pgi,Pomaulax gibberosus,Red turban shell,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Ami,Acmaea mitra,Whitecap limpet,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Nla,Nucella lamellosa,Frilled dogwinkle,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Acal,Apostichopus californicus,Californian sea cucumber,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Oko,Orthasterias koehleri,Rainbow star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Rni,Rhinogobiops nicholsii,Blackeye goby,2,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Hcr,Hermissenda crassicornis,Opalescent nudibranch,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Jasmin Schuster,Isabelle Cote,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,1.5,E,9:38,IMC,7,2,2,Hka,Haliotis kamtschatkana,Pinto abalone,21,0,1,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
