SITE,LOCATION,,,Mean,SD,Var,SE,depth_ft,Date,Abalone sizes - sample independently of density data,,,,,,,,,,,,,,density_sample_size,study,quad_size (m2),comments
13. CIA ROCK,48 50.26,125 10.95,,0.25,0.550119604,0.302631579,0.123010483,20,July 21 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
14. TAYLOR ED KING,48 49.66,125 12.25,,0.55,0.998683344,0.997368421,0.223312384,20,July 21 1988,Abalone,15mm,71mm,97mm,101mm,58mm,65mm,92mm,85mm,92mm,,,,,n=20,JaneWatson,0.7,
15. KIRBY POINT,48 50.70,125 12.52,,0.35,0.74515982,0.555263158,0.166622801,30,June 11 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 89 
16. VILLAGE BAY,48 51.00,125 12.04,,0.5,0.827170192,0.684210526,0.184960878,25,June 11 1988,Abalone,62mm,85mm,84mm,86mm,77mm,74mm,82mm,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 90
17. BLOWHOLE,48 49.47,125 09.70,,0.4,0.680557047,0.463157895,0.152177182,20,June 12 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 91
18. PRASIOLA,48 48.90,125 10.49,,0.05,0.223606798,0.05,0.05,30,June 12 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 92
19. WIZARD,48 51.48,125 09.65,,0.05,0.223606798,0.05,0.05,25,June 11 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 93
20. GRAPPLER,48 50.34,125 08.01,,0.2,0.523148364,0.273684211,0.11697953,,Nov 18 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,some descrepency in the data around whether this was 88 or 94
21. ED KING,48 49.8,125 13.16,,,,,,,,,,,,,,,,,,,,,,,JaneWatson,0.7,
1. SHIP ISLANDS,48 49.06,125 13.83,,0.25,0.550119604,,,,September 27 1994,Abalone,80mm,68mm,71mm,,,,,,,,,,,n=20,JaneWatson,0.7,
2. ED KING,48 49.31,125 12.97,,0.45,0.604805319,,,,September 27 1994,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
3. W ED KING,48 49.79,125 13.12,,0.1,0.307793506,,,,,Abalone,80mm,68mm,71mm,,,,,,,,,,,n=20,JaneWatson,0.7,
4. SEPPINGS,48 47.81,125 12.37,,0.15,0.489360485,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
5. CAPE BEALE,48 47.81,125 12.60,,0,0,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
6. LAWTON POINT,48 48.02,125 11.40,,0.1,0.307793506,,,,,Abalone,15mm,,,,,,,,,,,,,n=20,JaneWatson,0.7,
7. WHITTLESTONE,48 48.43,125 11.08,,0.05,0.223606798,,,,,Abalone,82mm,93mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
8. EXECUTION ROCK,48 48.86,125 10.71,,0,0,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
9. SELF POINT,48 59.90,125 09.75,,0.3,0.656946685,,,,,Abalone,100mm,,,,,,,,,,,,,n=20,JaneWatson,0.7,
10. HELBY ISLAND,48 51.35,125 10.23,,0,0,,,,,Abalone,82mm,99mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
11. SCOTTS BAY,48 50.06,125 08.83,,0,0,,,,,Abalone,93mm,92mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
12. AGUILLAR POINT,48 50.34,125 08.52,,0.05,0.223606798,,,,,Abalone,92mm,53mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
13. CIA ROCK,48 50.26,125 10.95,,0,0,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
14. TAYLOR ED KING,48 49.66,125 12.25,,0,0,,,,,Abalone,36mm,30mm,77mm,90mm,80mm,85mm,35mm,,,,,,,n=20,JaneWatson,0.7,
15. KIRBY POINT,48 50.70,125 12.52,,0.25,0.638666374,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
16. VILLAGE BAY,48 51.00,125 12.04,,0.35,0.670820393,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
17. BLOWHOLE,48 49.47,125 09.70,,0.15,0.670820393,,,,,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
18. PRASIOLA,48 48.90,125 10.49,,0.05,0.223606798,,,,,Abalone,72mm,88mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
19. WIZARD,48 51.48,125 09.65,,0.05,0.223606798,,,,,Abalone,95mm,60mm,79mm,85mm,73mm,62mm,80mm,105mm,100mm,105mm,,,,n=20,JaneWatson,0.7,
20. GRAPPLER,48 50.34,125 08.01,,0.05,0.223606798,,,,,Abalone,101mm,55mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
21. ED KING,48 49.8,125 13.16,,,,,,,,,,,,,,,,,,,,,,,JaneWatson,0.7,
1. SHIP ISLANDS,48 49.06,125 13.83,,0.07,,,,35,July 17 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,"Density estimates based on 30, 0.7 by 0.7m quadrats placed haphazardly on the sea floor."
2. ED KING,48 49.31,125 12.97,,0.00,,,,29,July 16 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
3. W ED KING,48 49.79,125 13.12,,0.07,,,,30,July 17 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
4. SEPPINGS,48 47.81,125 12.37,,0.26,,,,42,July 15 2007,,60mm,60mm,,,,,,,,,,,,n=30,JaneWatson,0.7,
5. CAPE BEALE,48 47.81,125 12.60,,0.00,,,,40,July 16 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
6. LAWTON POINT,48 48.02,125 11.40,,0.07,,,,42,July 16 2007,,83mm,83mm,,,,,,,,,,,,n=30,JaneWatson,0.7,
7. WHITTLESTONE,48 48.43,125 11.08,,0.00,,,,42,July 13 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
8. EXECUTION ROCK,48 48.86,125 10.71,,0.00,,,,40,July 16 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
9. SELF POINT,48 59.90,125 09.75,,0.12,,,,30,July 13 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
10. HELBY ISLAND,48 51.35,125 10.23,,0.07,,,,30,July 17 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
11. SCOTTS BAY,48 50.06,125 08.83,,0.12,,,,22,July 18 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
12. AGUILLAR POINT,48 50.34,125 08.52,,0.47,,,,25,July 18 2007,,90mm,87mm,,,,,,,,,,,,n=30,JaneWatson,0.7,
13. CIA ROCK,48 50.26,125 10.95,,0.00,,,,35,July 16 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
14. TAYLOR ED KING,48 49.66,125 12.25,,0.07,,,,28,July 14 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
15. KIRBY POINT,48 50.70,125 12.52,,0.07,,,,42,July 17 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
16. VILLAGE BAY,48 51.00,125 12.04,,0.40,,,,40,July 15 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
17. BLOWHOLE,48 49.47,125 09.70,,0.00,,,,20,July 13 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
18. PRASIOLA,48 48.90,125 10.49,,0.00,,,,35,July 13 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
19. WIZARD,48 51.48,125 09.65,,0.20,,,,30,July 14 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
20. GRAPPLER,48 50.34,125 08.01,,0.06,,,,25,July 18 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
21. ED KING,48 49.8,125 13.16,,0.00,,,,33,July 16 2007,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
1,,,,0.133333333,0.345745904,0.11954023,0.063124277,30,September 16 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
2,,,,0.033333333,0.182574186,0.033333333,0.033333333,30,September 16 2022,,48,,,,,,,,,,,,,n=30,JaneWatson,0.7,
3,,,,0,0,0,0,31,September 16 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
4,,,,0,0,0,0,28,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
5,,,,0.233333333,0.504006933,0.254022989,0.092018655,30,September 18 2022,,67,78,75,79,75,72,,,,,,,,n=30,JaneWatson,0.7,
6,,,,0,0,0,0,28,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
7,,,,0.233333333,0.504006933,0.254022989,0.092018655,32,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
8,,,,0.333333333,0.606478435,0.367816092,0.110727306,28,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
9,,,,0.3,0.534983081,0.286206897,0.0976741,30,September 19 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
10,,,,0.333333333,0.606478435,0.367816092,0.110727306,30,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
11,,,,1.133333333,1.332183412,1.774712644,0.243222302,24,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
12,,,,0.466666667,0.681445387,0.464367816,0.124414337,18,September 19 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
13,,,,0,0,0,0,20,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
14,,,,0,0,0,0,26,September 16 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
15,,,,0.1,0.305128577,0.093103448,0.055708601,31,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
16,,,,0.166666667,0.379049022,0.143678161,0.069204567,28,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
17,,,,0.033333333,0.182574186,0.033333333,0.033333333,24,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
18,,,,0.233333333,0.504006933,0.254022989,0.092018655,28,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
19,,,,0.3,0.651258728,0.424137931,0.118903032,30,September 18 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
20,,,,0.8,1.37464729,1.889655172,0.25097511,23,September 19 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
21,,,,0.166666667,0.461133037,0.212643678,0.084190989,26,September 16 2022,,,,,,,,,,,,,,,n=30,JaneWatson,0.7,
